name,age,gender,grade,course,attendance_pct,enrollment_date
Diana Pennington,-1.0,Unknown,B,English,-10.0,2022-09-23
John Phillips,-1.0,Female,Unknown,History,-10.0,2021-09-25
Whitney Charles,-1.0,Female,Unknown,math,32.39716158781074,2020-12-12
Brian Ferguson,-1.0,Unknown,Unknown,Math,32.39716158781074,32-13-2020
Julie Nelson,-1.0,M,Unknown,SCIENCE,98.25,1970-01-01
Jason Davis,-1.0,Other,Unknown,math,67.59,2021-05-15
Monique Parker,-1.0,Other,Unknown,math,32.39716158781074,1970-01-01
Marc Jones,-1.0,Other,B,Science,70.14,1970-01-01
Jacob Smith,-1.0,Male,D,History,62.4,1970-01-01
Albert Mccormick,14.0,maale,F,Unknown,-10.0,1970-01-01
Nancy Sanchez,-1.0,M,Unknown,English,32.39716158781074,2022-12-26
Mark Lawrence,-1.0,M,F,SCIENCE,32.39716158781074,32-13-2020
Kimberly Vincent,-1.0,Male,C,English,32.39716158781074,2022-08-16
James Davis,-1.0,M,C,math,32.39716158781074,1970-01-01
James Griffin,-1.0,Male,D,math,-10.0,2024-05-31
Rodney Huang,-1.0,Male,C,SCIENCE,32.39716158781074,32-13-2020
Jeffrey Farrell,-1.0,Unknown,C,SCIENCE,32.39716158781074,2020-08-17
Jennifer Ramsey,20.0,maale,A,Unknown,52.83,1970-01-01
Whitney Rodriguez,-1.0,F,Unknown,Unknown,73.55,1970-01-01
Michael Lane,22.0,femle,F,math,32.39716158781074,2022-06-11
Glenn Fisher,-1.0,Female,A,History,-10.0,32-13-2020
William Buchanan,15.0,Female,Unknown,Unknown,32.39716158781074,1970-01-01
Charles Morales,-1.0,Male,A,SCIENCE,32.39716158781074,2025-01-12
Nicholas Baker,-1.0,M,Unknown,Unknown,32.39716158781074,2025-05-08
Caitlin Knight,-1.0,maale,A,Unknown,32.39716158781074,32-13-2020
Barbara Blackburn,-1.0,maale,A,SCIENCE,62.54,2022-02-13
Angela Lopez,-1.0,Other,Unknown,Math,32.39716158781074,1970-01-01
Terri Shelton,-1.0,Other,Unknown,English,62.83,32-13-2020
James Thomas,20.0,Male,C,Unknown,73.55,2023-06-24
Crystal Knapp,-1.0,Unknown,D,Unknown,32.39716158781074,32-13-2020
James Harris,-1.0,F,B,Science,32.39716158781074,32-13-2020
Casey Carroll,-1.0,Other,Unknown,Science,32.39716158781074,2022-05-31
Julia Huber,-1.0,Unknown,A,Unknown,-10.0,32-13-2020
Christian Shannon,-1.0,Unknown,A,Science,32.39716158781074,1970-01-01
Nathan Christian,-1.0,maale,Unknown,Unknown,32.39716158781074,32-13-2020
David Long,-1.0,Unknown,B,Unknown,32.39716158781074,2022-08-23
Sean Johnson Jr.,14.0,F,A,Unknown,72.72,1970-01-01
Jessica Chang,-1.0,Unknown,F,Science,32.39716158781074,2023-09-11
Christian Watson,18.0,Male,A,Science,32.39716158781074,32-13-2020
Jason Elliott,-1.0,F,C,SCIENCE,-10.0,32-13-2020
Margaret Hebert,-1.0,M,D,math,32.39716158781074,1970-01-01
Heather Grant,-1.0,Unknown,D,math,87.16,2024-07-02
Jeffrey Reid,15.0,Other,F,Unknown,32.39716158781074,1970-01-01
Mitchell Flores,12.0,Unknown,F,math,50.97,32-13-2020
Amy Carr,-1.0,F,A,History,-10.0,32-13-2020
Brandi Johnson,-1.0,Unknown,B,Unknown,-10.0,32-13-2020
Brendan Owens,-1.0,Unknown,F,Unknown,32.39716158781074,2023-04-25
Laura Hutchinson,-1.0,Female,F,math,32.39716158781074,1970-01-01
Morgan Frye,-1.0,maale,A,English,69.09,32-13-2020
Tracy Farmer,-1.0,M,Unknown,SCIENCE,32.39716158781074,32-13-2020
Dana Bryant,19.0,maale,Unknown,English,32.39716158781074,32-13-2020
Ryan Rodriguez,11.0,femle,B,Unknown,32.39716158781074,32-13-2020
Joshua Mccormick,22.0,Unknown,A,Science,83.45,1970-01-01
Edward Bailey,-1.0,Female,A,Science,32.39716158781074,2021-06-05
Michele Phillips,13.0,F,F,math,32.39716158781074,32-13-2020
Elizabeth Martinez,11.0,Unknown,Unknown,SCIENCE,62.77,1970-01-01
Mark Wright,11.0,F,A,SCIENCE,84.57,2024-04-14
Mr. Gregory Delgado MD,-1.0,femle,D,History,32.39716158781074,1970-01-01
David Harrington,21.0,F,Unknown,English,32.39716158781074,1970-01-01
Michael Clark,-1.0,Unknown,C,math,89.26,32-13-2020
Christina Wang,-1.0,Unknown,F,Math,32.39716158781074,1970-01-01
Dorothy Lopez,-1.0,F,Unknown,English,32.39716158781074,1970-01-01
Patrick Wallace,10.0,F,D,Math,92.77,1970-01-01
Deborah Chang,-1.0,Male,Unknown,math,32.39716158781074,32-13-2020
Matthew Gonzalez,-1.0,Female,Unknown,Unknown,-10.0,2023-05-25
Robert Sandoval,-1.0,femle,C,Unknown,32.39716158781074,32-13-2020
Ryan Moore,-1.0,F,Unknown,History,74.6,2020-09-20
Joseph Kelly,-1.0,Male,B,Unknown,-10.0,2024-03-24
Larry Arellano,-1.0,Unknown,Unknown,SCIENCE,93.42,1970-01-01
Christopher Estrada,-1.0,M,Unknown,Unknown,32.39716158781074,2024-02-29
Ricky Wood,-1.0,Unknown,A,History,32.39716158781074,1970-01-01
Reginald Sosa,-1.0,F,D,Math,-10.0,2024-11-30
James Massey,-1.0,M,Unknown,SCIENCE,32.39716158781074,32-13-2020
Summer Clarke,14.0,M,C,SCIENCE,82.24,1970-01-01
Darius Rogers,-1.0,Other,Unknown,History,32.39716158781074,32-13-2020
Tyler Krause,-1.0,femle,Unknown,SCIENCE,57.52,2023-09-13
Matthew Perez,-1.0,F,Unknown,math,-10.0,32-13-2020
Angel Mccall,24.0,Male,Unknown,Math,71.05,2022-06-28
Joshua Hall,-1.0,Male,Unknown,History,61.37,32-13-2020
Perry Rush PhD,-1.0,Female,B,Unknown,-10.0,1970-01-01
Nicole Alvarez,16.0,Female,A,Unknown,-10.0,2025-05-22
Tara Mathis,-1.0,femle,C,math,32.39716158781074,32-13-2020
April George,-1.0,femle,C,Unknown,32.39716158781074,32-13-2020
Victor Coffey,-1.0,M,A,Science,32.39716158781074,2021-02-05
Kevin Caldwell,-1.0,femle,D,math,32.39716158781074,2025-02-22
Lauren Buchanan,-1.0,Unknown,B,English,-10.0,1970-01-01
Amy Duncan,-1.0,Unknown,B,English,32.39716158781074,2023-09-14
Annette Cardenas,-1.0,Unknown,Unknown,English,60.25,2022-09-10
Rhonda Smith,-1.0,femle,C,Unknown,32.39716158781074,2025-04-15
Shannon Graham,-1.0,M,C,Unknown,32.39716158781074,32-13-2020
Anne Wilson,-1.0,Unknown,Unknown,History,93.54,2025-03-28
Linda Elliott,25.0,Other,C,English,32.39716158781074,32-13-2020
Michael Wilson,-1.0,Unknown,D,Science,50.32,32-13-2020
Adam Rios,-1.0,M,Unknown,SCIENCE,50.4,2022-02-18
Michael Gray,-1.0,M,D,English,32.39716158781074,2021-03-15
Ashley Warren,-1.0,F,F,SCIENCE,32.39716158781074,2024-12-05
Lisa Choi,24.0,M,C,Unknown,-10.0,2023-09-03
Stephanie Smith,-1.0,femle,C,History,-10.0,1970-01-01
Linda Barker,-1.0,Unknown,Unknown,SCIENCE,83.37,32-13-2020
Taylor Carter,-1.0,femle,D,Unknown,32.39716158781074,32-13-2020
Sandra Frank,-1.0,Unknown,Unknown,SCIENCE,32.39716158781074,1970-01-01
Steven Jones,-1.0,Female,B,English,-10.0,1970-01-01
Matthew Ewing,-1.0,M,B,Unknown,32.39716158781074,2023-04-08
Garrett Perez,-1.0,Unknown,D,Unknown,-10.0,2022-06-01
Krystal Wilson,-1.0,Unknown,D,Science,-10.0,32-13-2020
Vincent Clark,-1.0,F,B,English,-10.0,1970-01-01
Zachary Wang,21.0,femle,B,English,32.39716158781074,1970-01-01
Lindsey James,-1.0,Unknown,A,SCIENCE,32.39716158781074,2021-09-04
Dylan Smith,12.0,femle,F,math,32.39716158781074,32-13-2020
Kayla Skinner,-1.0,F,C,English,32.39716158781074,2023-01-10
Brooke Duarte,-1.0,Female,C,Unknown,67.66,1970-01-01
Mary Jackson,-1.0,Other,F,English,-10.0,2024-12-12
Micheal Allen,-1.0,F,C,SCIENCE,32.39716158781074,2022-05-01
Anthony Richards,-1.0,M,B,Science,32.39716158781074,2024-03-19
Steven Gonzalez,-1.0,Unknown,Unknown,math,32.39716158781074,2022-09-21
Rachel Barnes,-1.0,Other,C,Unknown,-10.0,32-13-2020
Todd Thomas,25.0,Unknown,C,English,32.39716158781074,2022-06-25
Sandra Wallace,-1.0,Unknown,D,History,70.06,1970-01-01
Christopher Krueger,-1.0,Female,B,History,63.33,32-13-2020
Erica Clark,-1.0,Female,D,SCIENCE,32.39716158781074,32-13-2020
Christopher Burns,-1.0,Other,Unknown,SCIENCE,-10.0,2020-09-28
Christina Shepard,-1.0,Female,Unknown,English,-10.0,2021-06-13
Justin Bradley,23.0,Male,Unknown,Unknown,32.39716158781074,2020-09-17
Nicholas Higgins,-1.0,maale,F,History,32.39716158781074,2022-08-21
Jake David,-1.0,Female,D,History,32.39716158781074,2021-12-11
William Mcdaniel,-1.0,Unknown,Unknown,Math,32.39716158781074,32-13-2020
Kristopher Barrett,-1.0,F,C,History,-10.0,2020-07-02
Richard Davis,20.0,Unknown,F,Unknown,32.39716158781074,1970-01-01
Mr. Tony Aguirre,-1.0,Female,Unknown,Unknown,32.39716158781074,32-13-2020
Teresa George,-1.0,maale,F,Science,-10.0,32-13-2020
Rachel Molina,15.0,Unknown,Unknown,Math,58.88,32-13-2020
Melinda Rodriguez,-1.0,Unknown,D,Unknown,74.12,32-13-2020
Deborah Spencer,-1.0,maale,Unknown,SCIENCE,-10.0,32-13-2020
Annette Palmer,-1.0,Female,B,Unknown,32.39716158781074,32-13-2020
George Griffin,19.0,maale,Unknown,Unknown,32.39716158781074,32-13-2020
Mary Fleming,-1.0,Unknown,Unknown,Science,32.39716158781074,2022-05-09
David James,-1.0,Female,Unknown,English,78.06,1970-01-01
Yvette Joseph,-1.0,F,B,English,53.2,1970-01-01
Darrell Martinez,-1.0,Female,A,History,32.39716158781074,2024-06-25
Dominic Shaffer,-1.0,Female,B,History,-10.0,32-13-2020
Aaron Johnson,22.0,Unknown,A,History,32.39716158781074,32-13-2020
Joshua Hanson,-1.0,Unknown,C,Unknown,32.39716158781074,32-13-2020
Scott Martinez,-1.0,Other,C,SCIENCE,32.39716158781074,2022-09-20
Anne Turner,-1.0,Unknown,Unknown,History,-10.0,32-13-2020
Justin Kelly,-1.0,M,D,Science,32.39716158781074,2025-05-27
Gregory Cole,-1.0,Male,Unknown,Math,32.39716158781074,1970-01-01
Jeffery Romero,19.0,Male,A,English,-10.0,2021-09-21
George Snow,-1.0,maale,C,math,32.39716158781074,32-13-2020
Elizabeth Holland,21.0,F,Unknown,History,59.34,2022-06-25
Marie Ortiz,-1.0,femle,Unknown,Math,89.09,32-13-2020
Aaron Hartman,-1.0,Unknown,B,Unknown,32.39716158781074,32-13-2020
Sheila Hawkins,-1.0,Unknown,Unknown,Math,32.39716158781074,32-13-2020
Dominique Rodriguez,-1.0,M,Unknown,English,-10.0,32-13-2020
Teresa Jacobs,-1.0,F,C,SCIENCE,32.39716158781074,2022-11-21
Aaron Krause,-1.0,Female,B,History,-10.0,2024-11-02
Nathaniel Holmes,-1.0,maale,C,Math,32.39716158781074,32-13-2020
Linda Padilla,18.0,Unknown,Unknown,SCIENCE,32.39716158781074,2024-04-25
Michael Smith,-1.0,maale,Unknown,English,32.39716158781074,1970-01-01
Curtis Robertson,-1.0,maale,F,Math,32.39716158781074,1970-01-01
Rebecca Smith,-1.0,Unknown,B,SCIENCE,32.39716158781074,2021-06-13
Malik Martinez,-1.0,F,F,Math,-10.0,1970-01-01
Ashley Garner,-1.0,maale,F,Unknown,32.39716158781074,1970-01-01
Jonathan Clark,-1.0,Male,C,English,-10.0,32-13-2020
Crystal Hernandez,-1.0,Other,B,Unknown,97.37,1970-01-01
Christopher Ross,-1.0,femle,D,math,74.66,1970-01-01
Lisa Russell,-1.0,F,A,Unknown,32.39716158781074,1970-01-01
Elizabeth Mcneil,-1.0,F,D,Science,-10.0,2023-02-05
Adrian Avery,21.0,Other,D,math,32.39716158781074,32-13-2020
Linda Moore,-1.0,Male,C,Unknown,32.39716158781074,32-13-2020
Mark Cunningham,-1.0,maale,Unknown,Unknown,32.39716158781074,1970-01-01
Shane Johnson,-1.0,Male,A,Unknown,94.13,2022-05-22
John Wyatt,-1.0,Female,B,Science,32.39716158781074,32-13-2020
Ashley Barber MD,-1.0,Male,A,SCIENCE,-10.0,32-13-2020
Jeffrey Mitchell,15.0,Male,Unknown,History,-10.0,2020-11-17
Sarah Gutierrez,-1.0,maale,D,History,-10.0,1970-01-01
Juan Cooper,-1.0,Male,F,Unknown,67.57,2022-06-22
Michael Gray,-1.0,Female,Unknown,math,68.05,2024-11-25
Tara Mercado,20.0,Unknown,F,math,32.39716158781074,1970-01-01
Scott Ray,-1.0,Unknown,B,Science,32.39716158781074,1970-01-01
Brenda Alexander,-1.0,Female,Unknown,Unknown,32.39716158781074,32-13-2020
Dawn Sanders,-1.0,M,Unknown,English,32.39716158781074,1970-01-01
Kimberly Mcknight,-1.0,Female,Unknown,math,69.52,32-13-2020
Mr. Martin Mullen,-1.0,Unknown,Unknown,SCIENCE,-10.0,1970-01-01
Patricia Grant,-1.0,Male,Unknown,Unknown,-10.0,2020-11-14
Yvette Blackwell,-1.0,Unknown,B,History,-10.0,1970-01-01
Alexandra Woods,-1.0,Other,Unknown,History,85.8,2021-08-11
Steven Yu,-1.0,Other,A,SCIENCE,57.46,2023-02-28
Vincent Jordan,-1.0,F,Unknown,Unknown,-10.0,32-13-2020
Heather Simpson,-1.0,femle,F,math,73.46,2024-04-26
Sherry Ellison,-1.0,Unknown,C,History,32.39716158781074,32-13-2020
Robin Mcclure,-1.0,Female,A,History,97.04,2022-09-12
Lisa Collins,-1.0,Unknown,C,History,-10.0,2022-10-12
Megan Contreras,-1.0,Female,B,English,32.39716158781074,32-13-2020
Ashley Hines,-1.0,Unknown,Unknown,History,83.88,32-13-2020
Tina Hancock,17.0,Unknown,C,math,86.48,2025-02-16
Cody Mays,17.0,Female,C,History,32.39716158781074,1970-01-01
Dr. Michael Davis,-1.0,Female,B,History,32.39716158781074,1970-01-01
Thomas Henderson,-1.0,M,Unknown,Unknown,32.39716158781074,1970-01-01
David Cooper,-1.0,F,C,math,32.39716158781074,1970-01-01
Brittney Moore,11.0,Unknown,Unknown,SCIENCE,32.39716158781074,1970-01-01
