student_id,name,age,gender,grade,course,attendance_pct,enrollment_date
75,Kelly Palmer,-1,Male,C,English,53.71,2022-08-26
76,Bethany White,,F,,Math,59.95,32-13-2020
77,Stephen Bradford,11,,F,History,-10,32-13-2020
78,Jesse Moody,unknown,Male,F,History,N/A,2020-08-24
79,Jason French,-1,M,B,Science,N/A,
80,Amanda Griffin,-1,F,,SCIENCE,,2024-03-18
81,Craig Le,,F,D,Science,94.14,32-13-2020
82,Juan Wells,,,A,math,61.23,2025-03-25
83,Marcus Phillips,-1,,,,-10,32-13-2020
84,Lance Weaver,23,,D,,,32-13-2020
85,Rebecca Kaiser,unknown,maale,C,History,,32-13-2020
86,Amber Johnson,,M,A,English,81.33,32-13-2020
87,Jay Randall MD,,maale,C,,N/A,
88,Matthew Carey,23,femle,D,,,2024-09-14
89,Christina Bailey,,Other,D,,N/A,32-13-2020
90,Robert Love,unknown,,A,English,,
91,Jessica Fox,,femle,,Math,-10,2023-01-21
92,Jennifer Ramos,-1,F,B,math,,2020-11-03
93,Chad King,19,F,F,History,N/A,32-13-2020
94,James Hill,unknown,maale,A,,N/A,32-13-2020
95,Jeremy Barnes,,,F,SCIENCE,-10,32-13-2020
96,Kathleen Reyes,-1,Other,,SCIENCE,64.88,
97,James Hernandez,unknown,Female,,,56.55,
98,Kimberly Lewis,,Other,,,-10,
99,Meagan Villarreal,20,,D,,-10,32-13-2020
100,Donald Morales,,maale,C,,56.41,
101,Jacqueline Sanders,,M,C,,78.44,32-13-2020
102,Kevin Short,unknown,,B,math,N/A,32-13-2020
103,Janice Smith,12,Female,,math,N/A,2020-09-06
104,Victoria Chang,-1,maale,B,English,N/A,2022-07-08
105,Sean Mahoney,,Female,B,SCIENCE,N/A,
106,Jennifer Henderson,unknown,Other,A,Science,69.73,2024-12-08
107,Diane Berry,unknown,,B,Math,,32-13-2020
108,Edward Delgado,unknown,Male,B,Math,-10,
109,Nathan Ryan,-1,Other,,math,,32-13-2020
110,Ashley Clark,,Female,,,-10,32-13-2020
111,Arthur Oneal,,M,,,79.9,2022-02-01
112,Richard Rivas,unknown,Other,B,Science,,32-13-2020
113,Samuel Blankenship,unknown,,F,math,97.92,2021-06-24
114,Raymond Valentine,-1,Female,,math,N/A,32-13-2020
115,Brandon Alvarado,10,Other,B,Science,-10,
116,Chris Nunez,-1,M,D,English,,32-13-2020
117,Lisa Rogers,17,,F,Math,,32-13-2020
118,Gina Mendez,unknown,,F,History,-10,
119,Taylor Ward,unknown,,A,,N/A,32-13-2020
120,Kristen Singh,-1,femle,,math,,
121,Haley Davis,-1,Female,F,History,-10,
122,Jeff Green MD,21,Other,,,,2024-02-07
123,Cory Guerrero,,Female,A,,N/A,32-13-2020
124,Dawn Trujillo,11,,C,SCIENCE,,2023-02-08
125,Jerry Hernandez,unknown,,,SCIENCE,N/A,2024-02-27
126,Justin Richardson,12,F,,,-10,32-13-2020
127,Karen Stein,,F,B,,-10,2022-08-24
128,Kurt Snow,unknown,M,,History,N/A,32-13-2020
129,Victor Williams,,Male,A,SCIENCE,99.41,2022-10-19
130,Lori Romero,-1,F,F,,N/A,
131,Sharon Murillo,unknown,F,D,,,2022-07-23
132,Ashley Cameron,21,maale,,Math,,32-13-2020
133,Kim Jackson,,M,A,,-10,32-13-2020
134,Charles Ochoa,,maale,,math,,2021-02-21
135,George Barrera,unknown,M,F,History,,2024-05-20
136,Russell Jacobs,,,,math,-10,
137,Brian Tran,unknown,,,,-10,32-13-2020
138,Elizabeth Scott DDS,11,Male,D,SCIENCE,62.53,2022-12-17
139,Erik Gordon,17,M,F,,94.65,32-13-2020
140,Kathryn Krueger,unknown,M,C,,-10,
141,Annette Hansen,19,,C,SCIENCE,,32-13-2020
142,Michael Stevens,,Male,,math,-10,2021-04-03
143,Bruce Jones,-1,F,,Math,N/A,
144,Carlos Duncan,,Male,B,SCIENCE,N/A,
145,Jessica James,25,Other,C,SCIENCE,-10,32-13-2020
146,Robert Schneider,23,M,,,95.1,2021-02-18
147,Tiffany Griffin,,femle,C,,56.75,32-13-2020
148,Erik Myers,-1,maale,D,History,74.42,
149,Alexandra Bishop,-1,,F,English,73.73,2024-12-09
150,Kristen Gonzalez,-1,maale,A,SCIENCE,,32-13-2020
151,Taylor Zhang,13,Female,A,English,N/A,2020-08-26
152,Nicholas Garcia,-1,femle,D,Math,53.27,32-13-2020
153,Douglas Robinson,unknown,F,D,,-10,32-13-2020
154,Jo Jones,unknown,,F,History,,2020-10-18
155,Sarah Robinson,,M,,Math,54.07,2020-09-18
156,Jennifer Adams,-1,M,F,math,56.11,
157,Jennifer Henry,-1,,C,,N/A,
158,Pamela Wilson,unknown,Male,A,English,N/A,32-13-2020
159,Taylor Hammond,-1,maale,,English,N/A,2020-10-28
160,Kayla Cochran,14,,C,,98.45,
161,Eric Webster,unknown,,A,,,32-13-2020
162,Cody Young,unknown,F,C,,-10,32-13-2020
163,Dawn Allen,-1,F,,Math,51.67,
164,Christopher Sharp,-1,F,C,English,,32-13-2020
165,Veronica Graves,,F,,math,,2023-11-01
166,Richard Kaufman,,F,,,57.41,2022-06-12
167,Joshua Young,-1,Male,D,History,-10,2025-03-17
168,Laura Johnson,22,Female,D,Math,-10,2024-01-25
169,Jeremy Reyes,unknown,,C,Math,N/A,32-13-2020
170,Brittany Cruz,-1,F,,Science,,
171,Stephanie Harris,10,M,A,math,-10,
172,Chris Jones,,Female,,Math,,
173,Emily Owens,-1,,F,Science,N/A,
174,Jonathan Rivera,-1,Other,C,math,85.83,2021-07-28
175,Janice Gallagher,,F,,math,61.64,2024-09-20
176,Luke Larson MD,-1,,C,,N/A,
177,Christopher Herman,unknown,femle,,,,2024-08-02
178,John Vaughn,-1,Other,F,SCIENCE,95.23,32-13-2020
179,Veronica Mcgee,,,C,Science,,2025-03-24
180,Aaron Martin,unknown,,D,SCIENCE,,
181,Theodore Marquez,,Male,A,SCIENCE,74.89,2021-06-13
182,Steven Medina,unknown,,F,English,,
183,Austin Anderson,-1,maale,A,,N/A,32-13-2020
184,Diana Pennington,,,B,English,-10,2022-09-23
185,John Phillips,unknown,Female,,History,-10,2021-09-25
186,Whitney Charles,-1,Female,,math,N/A,2020-12-12
187,Brian Ferguson,-1,,,Math,,32-13-2020
188,Julie Nelson,,M,,SCIENCE,98.25,
189,Jason Davis,unknown,Other,,math,67.59,2021-05-15
190,Monique Parker,-1,Other,,math,N/A,
191,Marc Jones,-1,Other,B,Science,70.14,
192,Jacob Smith,unknown,Male,D,History,62.4,
193,Albert Mccormick,14,maale,F,,-10,
194,Nancy Sanchez,,M,,English,,2022-12-26
195,Mark Lawrence,-1,M,F,SCIENCE,N/A,32-13-2020
196,Kimberly Vincent,unknown,Male,C,English,N/A,2022-08-16
197,James Davis,-1,M,C,math,N/A,
198,James Griffin,-1,Male,D,math,-10,2024-05-31
199,Rodney Huang,-1,Male,C,SCIENCE,N/A,32-13-2020
200,Jeffrey Farrell,unknown,,C,SCIENCE,N/A,2020-08-17
201,Jennifer Ramsey,20,maale,A,,52.83,
202,Whitney Rodriguez,-1,F,,,73.55,
203,Michael Lane,22,femle,F,math,,2022-06-11
204,Glenn Fisher,unknown,Female,A,History,-10,32-13-2020
205,William Buchanan,15,Female,,,N/A,
206,Charles Morales,,Male,A,SCIENCE,,2025-01-12
207,Nicholas Baker,,M,,,,2025-05-08
208,Caitlin Knight,,maale,A,,,32-13-2020
209,Barbara Blackburn,unknown,maale,A,SCIENCE,62.54,2022-02-13
210,Angela Lopez,,Other,,Math,N/A,
211,Terri Shelton,,Other,,English,62.83,32-13-2020
212,James Thomas,20,Male,C,,73.55,2023-06-24
213,Crystal Knapp,-1,,D,,N/A,32-13-2020
214,James Harris,-1,F,B,Science,,32-13-2020
215,Casey Carroll,,Other,,Science,,2022-05-31
216,Julia Huber,-1,,A,,-10,32-13-2020
217,Christian Shannon,,,A,Science,,
218,Nathan Christian,unknown,maale,,,,32-13-2020
219,David Long,unknown,,B,,N/A,2022-08-23
220,Sean Johnson Jr.,14,F,A,,72.72,
221,Jessica Chang,unknown,,F,Science,,2023-09-11
222,Christian Watson,18,Male,A,Science,N/A,32-13-2020
223,Jason Elliott,unknown,F,C,SCIENCE,-10,32-13-2020
224,Margaret Hebert,,M,D,math,,
225,Heather Grant,,,D,math,87.16,2024-07-02
226,Jeffrey Reid,15,Other,F,,N/A,
227,Mitchell Flores,12,,F,math,50.97,32-13-2020
228,Amy Carr,,F,A,History,-10,32-13-2020
229,Brandi Johnson,,,B,,-10,32-13-2020
230,Brendan Owens,-1,,F,,,2023-04-25
231,Laura Hutchinson,,Female,F,math,N/A,
232,Morgan Frye,-1,maale,A,English,69.09,32-13-2020
233,Tracy Farmer,,M,,SCIENCE,N/A,32-13-2020
234,Dana Bryant,19,maale,,English,,32-13-2020
235,Ryan Rodriguez,11,femle,B,,N/A,32-13-2020
236,Joshua Mccormick,22,,A,Science,83.45,
237,Edward Bailey,unknown,Female,A,Science,N/A,2021-06-05
238,Michele Phillips,13,F,F,math,N/A,32-13-2020
239,Elizabeth Martinez,11,,,SCIENCE,62.77,
240,Mark Wright,11,F,A,SCIENCE,84.57,2024-04-14
241,Mr. Gregory Delgado MD,unknown,femle,D,History,,
242,David Harrington,21,F,,English,,
243,Michael Clark,,,C,math,89.26,32-13-2020
244,Christina Wang,unknown,,F,Math,N/A,
245,Dorothy Lopez,unknown,F,,English,,
246,Patrick Wallace,10,F,D,Math,92.77,
247,Deborah Chang,unknown,Male,,math,,32-13-2020
248,Matthew Gonzalez,unknown,Female,,,-10,2023-05-25
249,Robert Sandoval,-1,femle,C,,,32-13-2020
250,Ryan Moore,unknown,F,,History,74.6,2020-09-20
251,Joseph Kelly,-1,Male,B,,-10,2024-03-24
252,Larry Arellano,,,,SCIENCE,93.42,
253,Christopher Estrada,,M,,,N/A,2024-02-29
254,Ricky Wood,,,A,History,N/A,
255,Reginald Sosa,-1,F,D,Math,-10,2024-11-30
256,James Massey,,M,,SCIENCE,,32-13-2020
257,Summer Clarke,14,M,C,SCIENCE,82.24,
258,Darius Rogers,,Other,,History,,32-13-2020
259,Tyler Krause,-1,femle,,SCIENCE,57.52,2023-09-13
260,Matthew Perez,unknown,F,,math,-10,32-13-2020
261,Angel Mccall,24,Male,,Math,71.05,2022-06-28
262,Joshua Hall,,Male,,History,61.37,32-13-2020
263,Perry Rush PhD,,Female,B,,-10,
264,Nicole Alvarez,16,Female,A,,-10,2025-05-22
265,Tara Mathis,unknown,femle,C,math,N/A,32-13-2020
266,April George,-1,femle,C,,N/A,32-13-2020
267,Victor Coffey,,M,A,Science,N/A,2021-02-05
268,Kevin Caldwell,unknown,femle,D,math,N/A,2025-02-22
269,Lauren Buchanan,,,B,English,-10,
270,Amy Duncan,unknown,,B,English,,2023-09-14
271,Annette Cardenas,,,,English,60.25,2022-09-10
272,Rhonda Smith,unknown,femle,C,,N/A,2025-04-15
273,Shannon Graham,unknown,M,C,,N/A,32-13-2020
274,Anne Wilson,,,,History,93.54,2025-03-28
275,Linda Elliott,25,Other,C,English,,32-13-2020
276,Michael Wilson,-1,,D,Science,50.32,32-13-2020
277,Adam Rios,unknown,M,,SCIENCE,50.4,2022-02-18
278,Michael Gray,,M,D,English,N/A,2021-03-15
279,Ashley Warren,unknown,F,F,SCIENCE,,2024-12-05
280,Lisa Choi,24,M,C,,-10,2023-09-03
281,Stephanie Smith,,femle,C,History,-10,
282,Linda Barker,,,,SCIENCE,83.37,32-13-2020
283,Taylor Carter,,femle,D,,N/A,32-13-2020
284,Sandra Frank,unknown,,,SCIENCE,,
285,Steven Jones,-1,Female,B,English,-10,
286,Matthew Ewing,-1,M,B,,N/A,2023-04-08
287,Garrett Perez,-1,,D,,-10,2022-06-01
288,Krystal Wilson,-1,,D,Science,-10,32-13-2020
289,Vincent Clark,-1,F,B,English,-10,
290,Zachary Wang,21,femle,B,English,N/A,
291,Lindsey James,-1,,A,SCIENCE,N/A,2021-09-04
292,Dylan Smith,12,femle,F,math,,32-13-2020
293,Kayla Skinner,-1,F,C,English,,2023-01-10
294,Brooke Duarte,,Female,C,,67.66,
295,Mary Jackson,unknown,Other,F,English,-10,2024-12-12
296,Micheal Allen,-1,F,C,SCIENCE,,2022-05-01
297,Anthony Richards,,M,B,Science,,2024-03-19
298,Steven Gonzalez,,,,math,N/A,2022-09-21
299,Rachel Barnes,unknown,Other,C,,-10,32-13-2020
300,Todd Thomas,25,,C,English,N/A,2022-06-25
301,Sandra Wallace,unknown,,D,History,70.06,
302,Christopher Krueger,unknown,Female,B,History,63.33,32-13-2020
303,Erica Clark,-1,Female,D,SCIENCE,,32-13-2020
304,Christopher Burns,,Other,,SCIENCE,-10,2020-09-28
305,Christina Shepard,-1,Female,,English,-10,2021-06-13
306,Justin Bradley,23,Male,,,N/A,2020-09-17
307,Nicholas Higgins,-1,maale,F,History,,2022-08-21
308,Jake David,-1,Female,D,History,,2021-12-11
309,William Mcdaniel,-1,,,Math,N/A,32-13-2020
310,Kristopher Barrett,,F,C,History,-10,2020-07-02
311,Richard Davis,20,,F,,,
312,Mr. Tony Aguirre,unknown,Female,,,,32-13-2020
313,Teresa George,unknown,maale,F,Science,-10,32-13-2020
314,Rachel Molina,15,,,Math,58.88,32-13-2020
315,Melinda Rodriguez,-1,,D,,74.12,32-13-2020
316,Deborah Spencer,-1,maale,,SCIENCE,-10,32-13-2020
317,Annette Palmer,,Female,B,,N/A,32-13-2020
318,George Griffin,19,maale,,,,32-13-2020
319,Mary Fleming,unknown,,,Science,N/A,2022-05-09
320,David James,unknown,Female,,English,78.06,
321,Yvette Joseph,unknown,F,B,English,53.2,
322,Darrell Martinez,,Female,A,History,,2024-06-25
323,Dominic Shaffer,-1,Female,B,History,-10,32-13-2020
324,Aaron Johnson,22,,A,History,,32-13-2020
325,Joshua Hanson,unknown,,C,,N/A,32-13-2020
326,Scott Martinez,unknown,Other,C,SCIENCE,,2022-09-20
327,Anne Turner,unknown,,,History,-10,32-13-2020
328,Justin Kelly,-1,M,D,Science,N/A,2025-05-27
329,Gregory Cole,unknown,Male,,Math,N/A,
330,Jeffery Romero,19,Male,A,English,-10,2021-09-21
331,George Snow,,maale,C,math,N/A,32-13-2020
332,Elizabeth Holland,21,F,,History,59.34,2022-06-25
333,Marie Ortiz,unknown,femle,,Math,89.09,32-13-2020
334,Aaron Hartman,unknown,,B,,N/A,32-13-2020
335,Sheila Hawkins,unknown,,,Math,N/A,32-13-2020
336,Dominique Rodriguez,-1,M,,English,-10,32-13-2020
337,Teresa Jacobs,unknown,F,C,SCIENCE,N/A,2022-11-21
338,Aaron Krause,-1,Female,B,History,-10,2024-11-02
339,Nathaniel Holmes,,maale,C,Math,N/A,32-13-2020
340,Linda Padilla,18,,,SCIENCE,,2024-04-25
341,Michael Smith,unknown,maale,,English,,
342,Curtis Robertson,unknown,maale,F,Math,,
343,Rebecca Smith,-1,,B,SCIENCE,N/A,2021-06-13
344,Malik Martinez,,F,F,Math,-10,
345,Ashley Garner,,maale,F,,,
346,Jonathan Clark,-1,Male,C,English,-10,32-13-2020
347,Crystal Hernandez,-1,Other,B,,97.37,
348,Christopher Ross,,femle,D,math,74.66,
349,Lisa Russell,unknown,F,A,,,
350,Elizabeth Mcneil,unknown,F,D,Science,-10,2023-02-05
351,Adrian Avery,21,Other,D,math,N/A,32-13-2020
352,Linda Moore,,Male,C,,,32-13-2020
353,Mark Cunningham,-1,maale,,,,
354,Shane Johnson,,Male,A,,94.13,2022-05-22
355,John Wyatt,-1,Female,B,Science,N/A,32-13-2020
356,Ashley Barber MD,-1,Male,A,SCIENCE,-10,32-13-2020
357,Jeffrey Mitchell,15,Male,,History,-10,2020-11-17
358,Sarah Gutierrez,unknown,maale,D,History,-10,
359,Juan Cooper,unknown,Male,F,,67.57,2022-06-22
360,Michael Gray,unknown,Female,,math,68.05,2024-11-25
361,Tara Mercado,20,,F,math,,
362,Scott Ray,,,B,Science,,
363,Brenda Alexander,-1,Female,,,,32-13-2020
364,Dawn Sanders,,M,,English,N/A,
365,Kimberly Mcknight,,Female,,math,69.52,32-13-2020
366,Mr. Martin Mullen,unknown,,,SCIENCE,-10,
367,Patricia Grant,,Male,,,-10,2020-11-14
368,Yvette Blackwell,-1,,B,History,-10,
369,Alexandra Woods,unknown,Other,,History,85.8,2021-08-11
370,Steven Yu,,Other,A,SCIENCE,57.46,2023-02-28
371,Vincent Jordan,-1,F,,,-10,32-13-2020
372,Heather Simpson,-1,femle,F,math,73.46,2024-04-26
373,Sherry Ellison,-1,,C,History,N/A,32-13-2020
374,Robin Mcclure,unknown,Female,A,History,97.04,2022-09-12
375,Lisa Collins,-1,,C,History,-10,2022-10-12
376,Megan Contreras,unknown,Female,B,English,N/A,32-13-2020
377,Ashley Hines,unknown,,,History,83.88,32-13-2020
378,Tina Hancock,17,,C,math,86.48,2025-02-16
379,Cody Mays,17,Female,C,History,N/A,
380,Dr. Michael Davis,,Female,B,History,N/A,
381,Thomas Henderson,-1,M,,,N/A,
382,David Cooper,unknown,F,C,math,,
383,Brittney Moore,11,,,SCIENCE,N/A,
384,Kyle Roberts,-1,Female,,,N/A,32-13-2020
385,Madison Brown,unknown,Male,F,math,63.39,2020-09-17
386,Samantha Avila,unknown,,B,SCIENCE,89.3,32-13-2020
387,Tammy Baxter,unknown,F,B,math,-10,32-13-2020
388,Sandra Hart,-1,F,,,N/A,32-13-2020
389,William Moreno,,,,,-10,32-13-2020
390,Joseph Wright,25,Male,F,,-10,2023-09-18
391,Barbara Mckenzie,,,,SCIENCE,-10,
392,Andrew Jackson,-1,Other,D,,N/A,32-13-2020
393,Susan Walton,unknown,,D,History,,2023-10-28
394,Abigail Weaver,-1,maale,A,Science,,32-13-2020
395,Mary Davis,,F,B,History,52.57,32-13-2020
396,Brittany Mason,19,maale,D,SCIENCE,N/A,2021-04-14
397,Angela Bray,-1,Male,B,SCIENCE,-10,2024-12-08
398,Sarah Hudson,unknown,M,F,Math,,
399,Brandy Tucker,,maale,D,,N/A,
400,Kirk Beasley,unknown,maale,A,math,N/A,32-13-2020
401,Brandon Cook,,,C,Math,-10,2022-07-25
402,Robert Wilson,,,F,English,N/A,32-13-2020
403,Lisa Fuller,unknown,femle,B,Science,70.38,32-13-2020
404,Marcus Williams,-1,Female,D,,69.21,2024-11-01
405,Christopher Hess,,Male,,Science,N/A,32-13-2020
406,Susan Harris,unknown,,F,,89.97,
407,Cameron Tucker,unknown,Other,C,History,N/A,
408,Jerry Pearson,-1,,A,,,2021-11-13
409,Jessica Miller,unknown,Other,B,,N/A,
410,Mark Frank,11,Other,,Science,90.23,32-13-2020
411,Steven Williams III,,,B,Science,N/A,32-13-2020
412,Shirley Rodriguez,,Female,F,English,N/A,
413,Shawn Garcia,unknown,Other,B,Math,61.78,
414,Mr. Justin Lopez,,femle,,,90.27,2025-05-26
415,Matthew Moore,unknown,femle,D,,,
416,Laura Ramos,21,M,D,Math,98.11,
417,Stacy Elliott,-1,,B,SCIENCE,N/A,2022-02-23
418,Patrick Butler,-1,Male,,,-10,2024-01-22
419,Alicia Stevens,unknown,Female,,math,62.63,
420,Trevor Bass,unknown,Female,A,math,,
421,Michelle Wright,unknown,M,B,Math,N/A,2021-05-06
422,Jacob Sullivan,unknown,M,A,Math,-10,32-13-2020
423,Brian Frazier,-1,F,F,English,53.62,
424,Christopher Fisher,15,F,A,Math,-10,
425,Tina Hernandez DDS,,,,,-10,32-13-2020
426,Lisa Johnson,unknown,M,F,History,-10,32-13-2020
427,Rodney Kennedy,22,femle,,Math,N/A,2024-12-21
428,Colleen Greene,-1,M,D,SCIENCE,N/A,32-13-2020
429,Katie Smith,13,maale,D,English,-10,32-13-2020
430,Rebekah Diaz,,M,C,SCIENCE,-10,32-13-2020
431,Kristy Johnson,-1,,C,,,32-13-2020
432,Christina Nunez,25,M,D,,N/A,32-13-2020
433,Jasmine Griffin,,Male,F,History,77.29,2021-09-08
434,Megan Morales,-1,maale,A,,N/A,32-13-2020
435,Frederick Lane,-1,Female,D,English,-10,32-13-2020
436,Kimberly Salinas,-1,F,B,,N/A,32-13-2020
437,Carolyn Morgan,,,C,,75.76,
438,Christian Davis,-1,,,History,-10,
439,Erica Sherman,-1,,A,math,68.79,32-13-2020
440,Richard Salas,unknown,,C,SCIENCE,-10,32-13-2020
441,Tanya Gilmore,24,Male,A,math,94.06,2025-04-30
442,Matthew Hart,unknown,,,,N/A,
443,Benjamin Bond,,Other,D,English,-10,2023-09-06
444,Patrick Harvey,unknown,,C,Math,,
445,Bethany Thompson,unknown,M,,SCIENCE,,2025-01-06
446,Melissa Hamilton,17,F,,math,,2021-07-07
447,Maureen Gonzalez,14,F,,math,51.66,
448,Frances Ward,,Female,A,Math,,2021-07-24
449,Victoria Lewis,,Other,B,Math,-10,
450,Nicholas Williams,,,F,Math,N/A,32-13-2020
451,Erin Woods,25,M,,History,N/A,2022-05-19
452,William Castillo,25,,,,N/A,2022-09-13
453,Richard Carroll,unknown,Other,,SCIENCE,N/A,
454,Richard Martin,unknown,Other,C,English,84.94,2021-10-28
455,Kyle Torres,unknown,femle,,math,,32-13-2020
456,Philip Andrews,unknown,femle,,,-10,
457,William Mayer,16,,,,,32-13-2020
458,Joshua Higgins,,maale,,History,53.64,32-13-2020
459,Austin Sanchez,-1,M,,English,-10,32-13-2020
460,Melissa Campbell,,,F,,87.2,32-13-2020
461,Mary Rice,-1,M,F,SCIENCE,51.45,
462,Anthony Brown,,M,,History,N/A,2025-02-19
463,Tiffany Barton,15,Other,,math,-10,2021-05-10
464,Kevin Ward,18,,A,English,78.8,
465,Matthew Bell,unknown,,C,English,61.69,2024-11-23
466,Rhonda Santos,,M,F,SCIENCE,-10,2025-03-29
467,Samantha Williamson,,M,,,58.14,
468,Jimmy Smith,-1,maale,F,History,N/A,2022-08-27
469,Mary Scott,,F,,math,-10,
470,Alyssa Robinson,15,F,C,Math,,
471,Pamela Davila,-1,Female,,SCIENCE,N/A,2025-02-28
472,Michael Logan,-1,,,SCIENCE,N/A,
473,Mary Lee,,Other,B,Science,-10,
474,Bernard Macdonald,,M,,,N/A,2020-09-26
475,Marilyn Hubbard,14,,C,History,,2023-06-23
476,Dr. Tina Hodges MD,unknown,,D,SCIENCE,N/A,32-13-2020
477,Stephen Sandoval,-1,M,,English,,2024-02-27
478,Karen Hess,unknown,Other,D,Science,-10,
479,Jennifer Cole,-1,F,,English,79.19,2024-07-27
480,Amy Smith,unknown,femle,,math,N/A,32-13-2020
481,Brandon Hayden,-1,maale,,English,,
482,Megan Ruiz,,,F,SCIENCE,98.94,2024-11-07
483,Anthony Frazier,,femle,,,,32-13-2020
484,Kyle Townsend,25,Male,,Math,,
485,Robert Rodriguez,-1,,B,Science,53.23,32-13-2020
486,Harold Villanueva,11,,D,English,N/A,
487,Theresa Johnson,,femle,D,English,,
488,Angela Ortega,19,M,,,,
489,Casey Kirk,,Male,A,,,2022-06-02
490,Lindsey Schaefer,-1,M,D,,55.7,2024-09-06
491,Rodney Lucas,25,Other,F,English,N/A,32-13-2020
492,Laura Mason,16,M,C,Science,N/A,2022-06-29
493,Sarah Jones,,M,F,English,-10,
494,Melissa Cruz,,M,,math,77.23,32-13-2020
495,Timothy Murphy,,Female,A,History,-10,
496,Stephanie Gibson,unknown,F,D,Math,-10,2024-08-06
497,Patricia Roman,24,Other,F,Science,89.33,
498,Lindsay Wilcox,-1,,C,math,N/A,2023-04-24
499,Alexandria Moore,15,Male,F,,-10,2021-07-16
500,Katherine Swanson,-1,,F,math,98.21,2024-07-27
501,Heather Riley,,,B,History,N/A,2023-07-31
502,April Howe,-1,Female,,Science,-10,
